"DateTime";"Bitcoin Price Linear"
"1970-01-01 00:00:00";6,607
"1970-01-01 00:00:00";5,577
"1970-01-01 00:00:00";5,577
"1970-01-01 00:00:00";5,99
"1970-01-01 00:00:00";6,69
"1970-01-01 00:00:00";6,96
"1970-01-01 00:00:00";7,216
"1970-01-01 00:00:00";8,01
"1970-01-01 00:00:00";8,5
"1970-01-01 00:00:00";8,11
"1970-01-01 00:00:00";8,102
"1970-01-01 00:00:00";8,25
"1970-01-01 00:00:00";8,1
"1970-01-01 00:00:00";8,3
"1970-01-01 00:00:00";9,5
"1970-01-01 00:00:00";10,575
"1970-01-01 00:00:00";14,04
"1970-01-01 00:00:00";16,2
"1970-01-01 00:00:00";16,451
"1970-01-01 00:00:00";18,26
"1970-01-01 00:00:00";22,214
"1970-01-01 00:00:00";26,151
"1970-01-01 00:00:00";20,01
"1970-01-01 00:00:00";13
"1970-01-01 00:00:00";10,25
"1970-01-01 00:00:00";16
"1970-01-01 00:00:00";18,001
"1970-01-01 00:00:00";19,022
"1970-01-01 00:00:00";17
"1970-01-01 00:00:00";13
"1970-01-01 00:00:00";15,052
"1970-01-01 00:00:00";16,85
"1970-01-01 00:00:00";16,22
"1970-01-01 00:00:00";15,89
"1970-01-01 00:00:00";15,45
"1970-01-01 00:00:00";15,03
"1970-01-01 00:00:00";14,72
"1970-01-01 00:00:00";14,27
"1970-01-01 00:00:00";16,5
"1970-01-01 00:00:00";16,8
"1970-01-01 00:00:00";17
"1970-01-01 00:00:00";16,9
"1970-01-01 00:00:00";16,1
"1970-01-01 00:00:00";15,4
"1970-01-01 00:00:00";15,4
"1970-01-01 00:00:00";15,4
"1970-01-01 00:00:00";13,9
"1970-01-01 00:00:00";12,9
"1970-01-01 00:00:00";14,8
"1970-01-01 00:00:00";14,8
"1970-01-01 00:00:00";14,3
"1970-01-01 00:00:00";14,4
"1970-01-01 00:00:00";14,9
"1970-01-01 00:00:00";14,2
"1970-01-01 00:00:00";14
"1970-01-01 00:00:00";13,9
"1970-01-01 00:00:00";14
"1970-01-01 00:00:00";13,8
"1970-01-01 00:00:00";13,7
"1970-01-01 00:00:00";13,2
"1970-01-01 00:00:00";13,5
"1970-01-01 00:00:00";13,9
"1970-01-01 00:00:00";13,7
"1970-01-01 00:00:00";13,6
"1970-01-01 00:00:00";13,7
"1970-01-01 00:00:00";13,7
"1970-01-01 00:00:00";14
"1970-01-01 00:00:00";14,1
"1970-01-01 00:00:00";13,9
"1970-01-01 00:00:00";13,9
"1970-01-01 00:00:00";13,5
"1970-01-01 00:00:00";13,5
"1970-01-01 00:00:00";13,5
"1970-01-01 00:00:00";13,4
"1970-01-01 00:00:00";13,1
"1970-01-01 00:00:00";12,1
"1970-01-01 00:00:00";9,3
"1970-01-01 00:00:00";10,8
"1970-01-01 00:00:00";9,8
"1970-01-01 00:00:00";6,6
"1970-01-01 00:00:00";7,9
"1970-01-01 00:00:00";7,8
"1970-01-01 00:00:00";10
"1970-01-01 00:00:00";10
"1970-01-01 00:00:00";9,5
"1970-01-01 00:00:00";9,5
"1970-01-01 00:00:00";10,1
"1970-01-01 00:00:00";10,8
"1970-01-01 00:00:00";11,1
"1970-01-01 00:00:00";11
"1970-01-01 00:00:00";10,9
"1970-01-01 00:00:00";10,9
"1970-01-01 00:00:00";11,69
"1970-01-01 00:00:00";11,7
"1970-01-01 00:00:00";11,7
"1970-01-01 00:00:00";11,7
"1970-01-01 00:00:00";10,9
"1970-01-01 00:00:00";10,5
"1970-01-01 00:00:00";10
"1970-01-01 00:00:00";8,2
"1970-01-01 00:00:00";8,6
"1970-01-01 00:00:00";9,1
"1970-01-01 00:00:00";9
"1970-01-01 00:00:00";8
"1970-01-01 00:00:00";8,2
"1970-01-01 00:00:00";8,22
"1970-01-01 00:00:00";8,88
"1970-01-01 00:00:00";8,5
"1970-01-01 00:00:00";8,89
"1970-01-01 00:00:00";7,6
"1970-01-01 00:00:00";8
"1970-01-01 00:00:00";8,5
"1970-01-01 00:00:00";7,4
"1970-01-01 00:00:00";5
"1970-01-01 00:00:00";4,8
"1970-01-01 00:00:00";5,9
"1970-01-01 00:00:00";6,1
"1970-01-01 00:00:00";5,97
"1970-01-01 00:00:00";5,53
"1970-01-01 00:00:00";5,13
"1970-01-01 00:00:00";4,85
"1970-01-01 00:00:00";4,87
"1970-01-01 00:00:00";4,92
"1970-01-01 00:00:00";4,9
"1970-01-01 00:00:00";5,66
"1970-01-01 00:00:00";5,66
"1970-01-01 00:00:00";5,72
"1970-01-01 00:00:00";5,72
"1970-01-01 00:00:00";5,68
"1970-01-01 00:00:00";6,05
"1970-01-01 00:00:00";4,8
"1970-01-01 00:00:00";4,92
"1970-01-01 00:00:00";4,82
"1970-01-01 00:00:00";4,82
"1970-01-01 00:00:00";5,1
"1970-01-01 00:00:00";5
"1970-01-01 00:00:00";5
"1970-01-01 00:00:00";4,87
"1970-01-01 00:00:00";4,98
"1970-01-01 00:00:00";4,92
"1970-01-01 00:00:00";4,8
"1970-01-01 00:00:00";4,61
"1970-01-01 00:00:00";3,99
"1970-01-01 00:00:00";3,89
"1970-01-01 00:00:00";4,51
"1970-01-01 00:00:00";4,1
"1970-01-01 00:00:00";3,93
"1970-01-01 00:00:00";3,97
"1970-01-01 00:00:00";4,05
"1970-01-01 00:00:00";3,8
"1970-01-01 00:00:00";3,6
"1970-01-01 00:00:00";3,92
"1970-01-01 00:00:00";2,4
"1970-01-01 00:00:00";2,3
"1970-01-01 00:00:00";2,24
"1970-01-01 00:00:00";2,27
"1970-01-01 00:00:00";3,2
"1970-01-01 00:00:00";3,2
"1970-01-01 00:00:00";2,92
"1970-01-01 00:00:00";2,72
"1970-01-01 00:00:00";2,69
"1970-01-01 00:00:00";3
"1970-01-01 00:00:00";4,2
"1970-01-01 00:00:00";3,95
"1970-01-01 00:00:00";3,5
"1970-01-01 00:00:00";3,3
"1970-01-01 00:00:00";3,33
"1970-01-01 00:00:00";3,3
"1970-01-01 00:00:00";3,2
"1970-01-01 00:00:00";3,55
"1970-01-01 00:00:00";3
"1970-01-01 00:00:00";2,95
"1970-01-01 00:00:00";3
"1970-01-01 00:00:00";3,08
"1970-01-01 00:00:00";3,3
"1970-01-01 00:00:00";3,3
"1970-01-01 00:00:00";3,3
"1970-01-01 00:00:00";3,35
"1970-01-01 00:00:00";3,35
"1970-01-01 00:00:00";2,47
"1970-01-01 00:00:00";2,5
"1970-01-01 00:00:00";3
"1970-01-01 00:00:00";2,99
"1970-01-01 00:00:00";2,5
"1970-01-01 00:00:00";2,43
"1970-01-01 00:00:00";2,37
"1970-01-01 00:00:00";2,25
"1970-01-01 00:00:00";2,59
"1970-01-01 00:00:00";2,3
"1970-01-01 00:00:00";3
"1970-01-01 00:00:00";2,75
"1970-01-01 00:00:00";2,77
"1970-01-01 00:00:00";2,5
"1970-01-01 00:00:00";2,66
"1970-01-01 00:00:00";2,72
"1970-01-01 00:00:00";3,19
"1970-01-01 00:00:00";3,42
"1970-01-01 00:00:00";3,04
"1970-01-01 00:00:00";2,93
"1970-01-01 00:00:00";2,8
"1970-01-01 00:00:00";2,93
"1970-01-01 00:00:00";2,98
"1970-01-01 00:00:00";3,3
"1970-01-01 00:00:00";3,3
"1970-01-01 00:00:00";3
"1970-01-01 00:00:00";3,2
